,ubicacion,latitud,longitud
0,Viaducto R?o de la Piedad y 1ro de Mayo,19.4056047,-99.1197212
1,Circuito Bicentenario Maestro Jos? Vasconcelos y Av. Benjam?n Franklin,19.407957,-99.184197
2,Escuela M?dico Militar - Jos? Antonio Torres Xocongo y Fray Servando Teresa de Mier,19.423568,-99.131166
3,Eje Central L?zaro C?rdenas y Av. Ricardo Flores Mag?n,19.449558,-99.138399
4,Perif?rico 2P S-N / R?o San ?ngel y Rinc. Atlamaya,19.354244,-99.199933
5,AUN / Av. R?o Becerra y 11 de Abril,19.395246,-99.188713
6,Perif?rico 2P S-N / Etna y Ajusco,19.359411,-99.193844
8,Eje 9 Sur Miguel ?ngel de Quevedo y Av. Universidad,19.346874,-99.180131
9,Circuito Bicentenario Av. Rio Churubusco y Gerentes,19.37929,-99.095667
12,"Eje 1 Oriente Av. del Trabajo, Eje 2 Norte Canal del Norte y Av. Circunvalaci?n",19.452092,-99.124752
13,Eje 1 Poniente Guerrero y Eje 2 Norte Manuel Gonz?lez,19.456251,-99.145048
14,Jose Maria Izazaga y Eje Central L?zaro C?rdenas,19.426584,-99.141868
15,Av. Insurgentes Nte. y Pte. 112,19.4735857,-99.134751
16,Av. Marina Nacional y Felipe Carrillo Puerto,19.4520233,-99.1855748
17,Av. San Cosme,19.440977,-99.15837
18,Av. Paseo de la Reforma y Estela  de Luz,19.423585,-99.175399
19,Av. Cuitl?huac,19.473673,-99.15889
20,AUN /Gral. Juan Cabral y Batalla de Celaya,19.4387655,-99.2142775
21,Fray Servando Teresa de Mier y Cucurpe,19.4215211,-99.1184883
22,Calz. Ignacio Zaragoza y Anselmo de la Portilla,19.422735,-99.101904
23,Av. Ocean?a y Pablo R. Sidar,19.4391863,-99.0972188
25,Chapultepec - Sonora - Lieja,19.421324,-99.173931
26,Calz Gral. Ignacio Zaragoza y Circuito Bicentenario Boulevard Puerto  A?reo,19.419915,-99.096795
27,Av. Guadalupe I. Ram?rez y Prol. Divisi?n del Norte,19.265928,-99.114759
28,Av. Hidalgo,19.437403,-99.145792
29,Av. Aquiles Serd?n y Av. Tezozomoc,19.489679,-99.194411
30,Eje 3 Pte. Thiers y Darwin,19.429957,-99.174731
31,Circuito Bicentenario Av. Rio Consulado,19.4523151,-99.1088224
32,Eje Central Lázaro Cárdenas,19.464898,-99.137374
33,Anillo Perif?rico Canal de Garay y Lebrija,19.323534,-99.071847
34,Calz. De Tlalpan y Museo,19.3287573,-99.1398364
35,San Lorenzo,19.350968,-99.07478
36,Perif?rico 2P S-N / Dr. Glez. Herrej?n / Lomas de Plateros,19.3727515,-99.1921234
37,Circuito Bicentenario Melchor Ocampo y R?o Duero,19.42859,-99.1741747
40,Eje 6 Sur Narciso Mendoza y  Eje 8 Sur Ermita Iztapalapa,19.352139,-99.015352
41,Eje 4 Ote. Canal Rio Churubusco y Canal de Apatlaco,19.379954,-99.095682
42,Eje 6 Sur Av. Luis M?ndez y Carlos L Gracidas,19.362278,-99.049156
43,Jos? Mar?a Pino Su?rez y Venustiano Carranza,19.430987,-99.132297
44,Eje 2 Nte. Manuel Gonz?lez y Calle General Ignacio Zaragoza,19.4565453,-99.1463572
45,Eje Central L?zaro C?rdenas y Toribio Medina,19.40712,-99.144644
46,Eje Central L?zaro C?rdenas y Avenida Hidalgo,19.4359178,-99.1406917
47,Eje 5 Av. Montevideo y Pulacayo,19.489519,-99.129903
48,Circuito Bicentenario Instituto T?cnico Industrial y Calle Eligio Ancona,19.45334,-99.163946
49,Circuito Bicentenario Boulebard Puerto Aereo y Norte 25,19.4375679,-99.0861399
50,Av. Insurgentes Nte. y Av. Ricarte,19.484079,-99.126609
53,Eje 8 Sur Ermita Iztapalapa y Roc?o,19.3427999,-99.0564653
54,Perif?rico 2P S-N Calz. Catarina y Av. Le?n Felipe,19.350306,-99.200777
55,Eje Central L?zaro C?rdenas y Fortuna,19.486666,-99.143201
56,Eje 1 Nte. Mosqueta y Soto,19.4447801,-99.1440693
57,Av. Ej?rcito Nacional Mexicano y Anillo Perif?rico Boulevard Manuel ?vila Camacho,19.438951,-99.213515
58,Eje 3 Oriente Ing. Eduardo Molina y Eje 5 Norte San Juan de Arag?n,19.478628,-99.097819
59,Eje 2 Oriente,19.368829,-99.122408
60,Eje 5 Sur y Anillo Periferico Oriente,19.346607,-99.180692
62,AUN /  Calle 16 y Av. San Antonio,19.3847466,-99.1931371
65,Eje 3 Sur (Dr. Morones Prieto) y Dr. Jos? Ma. V?rtiz,19.406861,-99.149428
66,Eje 1 Norte - Insurgentes - Buenavista,19.445941,-99.153184
67,Calz Gral. Ignacio Zaragoza y Viaducto,19.408772,-99.077477
68,AUN /   Fernando Alencastre y Av. de los Constituyentes,19.419281,-99.195513
70,Circuito Bicentenario Av. R?o Consulado y Cant?n,19.4511166,-99.0962819
71,Av. Canal del Nte. y Tenochtitl?n,19.4526233,-99.1273266
72,Eje 2 Norte Manuel Gonz?lez y Eje Central L?zaro C?rdenas,19.454718,-99.138265
73,Av. Revolución,19.338837,-99.192118
74,Perif?rico 2P S-N Aurelio Rivera/Pino,19.3431643,-99.2027342
75,Calz. Vallejo y Cuauht?moc,19.4698112,-99.1447284
80,Calz. Gral. Ignacio Zaragoza y Circuito Bicentenario Boulevard Puerto  A?reo,19.419933,-99.095867
81,Eje 7 Sur,19.370331,-99.156549
82,Av. Revoluci?n y Calle 13,19.3906504,-99.1859205
83,AUN / Deportivo Israelita /Ing. Zapadores y Av. del Conscripto,19.447925,-99.220759
84,Eje 6 Sur Playa Pie de la Cuesta y Eje 1 Ote. Andr?s Molina Enr?quez,19.377115,-99.129933
85,Eje 4 Pte. Av. Revoluci?n y Av. Barranca del Muerto,19.363279,-99.189106
86,Av. Constituyentes y Gob. Gregorio Villa Gelati,19.413017,-99.189798
87,Calz. De Tlalpan y Calle Atletas,19.3544699,-99.1445281
88,AUN / Av. Ej?rcito Nacional y Miguel de Cervantes Saavedra,19.4100026,-99.1921155
89,AUN / Gobernador Jos? Ceballos y Av. Constituyentes,19.4100026,-99.1921155
92,Circuito Bicentenario Calz. Melchor Ocampo y Nezahualpilli,19.4404601,-99.1675379
